date,aqi,hotspot_count,hotspot_count_high,total_frp,mean_frp,max_frp,product,frp_lag1,count_lag1,frp_lag2,count_lag2,frp_lag3,count_lag3,frp_roll3,frp_roll7,aqi_roll3,aqi_roll7,log_frp,log_count,frp_cumsum,aqi_delta,frp_delta,frp_norm,frp_z,aqi_z,fire_cat
2025-09-11,162.4375,6,0,10.48,1.75,3.93,VIIRS_SNPP_SP,1.28,1.0,1.49,2.0,14.94,6.0,4.416666666666667,5.3514285714285705,139.04166666666666,116.75,2.4406063908914204,1.9459101490553132,42.97,39.85416666666667,9.200000000000001,0.0033988895231176377,-0.7129969416924419,-0.027434783716767386,Low
2025-09-12,137.66666666666666,12,0,18.29,1.52,3.24,VIIRS_SNPP_SP,10.48,6.0,1.28,1.0,1.49,2.0,10.016666666666666,7.964285714285714,140.89583333333334,121.98214285714285,2.9595868269176377,2.5649493574615367,61.26,-24.770833333333343,7.809999999999999,0.0059318405894867934,-0.7032097514637686,-0.6619428921968221,Low
2025-09-13,145.97916666666666,8,0,21.45,2.68,5.57,VIIRS_SNPP_SP,18.29,12.0,10.48,6.0,1.28,1.0,16.74,10.585714285714285,148.69444444444443,129.76190476190476,3.1112906141882632,2.1972245773362196,82.71,8.3125,3.16,0.006956696590732188,-0.6992497615633065,-0.44901712660931853,Low
2025-09-14,148.60416666666666,11,0,52.56,4.78,11.13,VIIRS_SNPP_SP,21.45,8.0,18.29,12.0,10.48,6.0,30.76666666666667,17.212857142857143,144.08333333333334,136.06547619047618,3.9808025208229716,2.4849066497880004,135.26999999999998,2.625,31.110000000000003,0.01704633905868922,-0.6602639116255309,-0.3817774111606332,Low
2025-09-15,133.25,13,0,68.66,5.28,10.48,VIIRS_SNPP_SP,52.56,11.0,21.45,8.0,18.29,12.0,47.55666666666667,24.887142857142855,142.61111111111111,140.375,4.243626264937855,2.6390573296152584,203.92999999999998,-15.354166666666657,16.099999999999994,0.022267915520730628,-0.6400880137149495,-0.7750763816819115,Low
2025-09-16,129.875,24,0,147.61,6.15,12.35,VIIRS_SNPP_SP,68.66,13.0,52.56,11.0,21.45,8.0,89.61000000000001,45.76142857142857,137.24305555555554,140.05654761904762,5.001325424770478,3.2188758248682006,351.53999999999996,-3.375,78.95000000000002,0.04787309947589643,-0.5411509242714461,-0.8615274444016497,Low
2025-09-17,127.72916666666667,27,0,99.23,3.68,9.38,VIIRS_SNPP_SP,147.61,24.0,68.66,13.0,52.56,11.0,105.16666666666669,59.75428571428572,130.28472222222223,140.79166666666666,4.607467545036775,3.332204510175204,450.77,-2.1458333333333286,-48.38000000000001,0.03218242436822168,-0.6017788709120628,-0.9164932435382733,Low
2025-09-18,154.22916666666666,27,0,77.1,2.86,9.06,VIIRS_SNPP_SP,99.23,27.0,147.61,24.0,68.66,13.0,107.98000000000002,69.27142857142857,137.27777777777777,139.61904761904762,4.35799005684564,3.332204510175204,527.87,26.499999999999986,-22.13000000000001,0.0250051891443101,-0.6295113318289055,-0.23769230662773605,Low
2025-09-19,155.45833333333334,10,0,51.96,5.2,9.84,VIIRS_SNPP_SP,77.1,27.0,99.23,27.0,147.61,24.0,76.09666666666668,74.08142857142856,145.80555555555557,142.16071428571428,3.9695369116287527,2.3978952727983707,579.83,1.2291666666666856,-25.139999999999993,0.01685174614706035,-0.6610158084420743,-0.206207043044621,Low
2025-09-20,147.14583333333334,3,0,12.99,4.33,7.81,VIIRS_SNPP_SP,51.96,10.0,77.1,27.0,99.23,27.0,47.35,72.87285714285714,152.2777777777778,142.32738095238093,2.63834278867739,1.3862943611198906,592.82,-8.3125,-38.97,0.004212936536765088,-0.7098515066765687,-0.41913280863212454,Low
