name,location,distance_km,area_sqkm,avg_AQI,pm2_5,pm10,co,no2,traffic_raw,industrial_count,vehicular_pct,industrial_pct
Naraina,Connaught Place,7.797649029618953,0.3933770612340426,194.45308219178082,80.31478310502283,199.17309360730593,865.3297945205479,33.86200913242009,154.0,3,26.36986301369863,30.0
Naraina Indl Area - I,Connaught Place,7.930555222528721,0.43608958333771697,194.45308219178082,80.31478310502283,199.17309360730593,865.3297945205479,33.86200913242009,130.0,2,22.26027397260274,20.0
Naraina Loha Mandi,Connaught Place,7.5064135521265465,0.1845986813526304,194.45308219178082,80.31478310502283,199.17309360730593,865.3297945205479,33.86200913242009,159.0,6,27.22602739726027,60.0
Naraina Vihar,Connaught Place,7.617010761282386,0.6986398081723615,194.45308219178082,80.31478310502283,199.17309360730593,865.3297945205479,33.86200913242009,128.0,2,21.91780821917808,20.0
Nauroji Nagar,Connaught Place,7.2490331999161235,0.13791694415401742,194.45308219178082,80.31478310502283,199.17309360730593,865.3297945205479,33.86200913242009,319.0,1,54.62328767123288,10.0
Netaji Nagar,Connaught Place,6.903948452660021,0.6198750140336793,194.45308219178082,80.31478310502283,199.17309360730593,865.3297945205479,33.86200913242009,400.0,1,68.4931506849315,10.0
New Delhi Railway Station,Connaught Place,1.260744953665108,0.3317153677485711,194.45308219178082,80.31478310502283,199.17309360730593,865.3297945205479,33.86200913242009,347.0,1,59.417808219178085,10.0
New Rajendra Nagar,Connaught Place,3.798906281446296,0.6613965746144197,194.45308219178082,80.31478310502283,199.17309360730593,865.3297945205479,33.86200913242009,102.0,1,17.465753424657535,10.0
North Moti Bagh,Connaught Place,6.55800310743918,0.5016351229099872,194.45308219178082,80.31478310502283,199.17309360730593,865.3297945205479,33.86200913242009,313.0,1,53.5958904109589,10.0
Pkt 11 & 12,IGI Airport,4.617627815483049,0.028674433039557874,380.2753424657534,98.7700799086758,401.75230593607307,859.4173515981735,37.02350456621005,120.0,1,20.54794520547945,10.0
